FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,cooperative_nom,cooperative_statut,cooperative_type,geometry
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-670a,Maritime,Lacs,Lacs 4,Fiata,Ganave,Coopérative Scoops Novi Va De Tokpo,{Cooperative transformation},Nsp,POINT (1.6367383333333299 6.309665)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-6709,Maritime,Yoto,Yoto 3,Gboto,Gboto Zeve,Coopérative Scoops Difa,{Cooperative production},Nsp,POINT (1.4768700000000006 6.705631666666671)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-6708,Plateaux,Kloto,Kloto 1,Kpadapé,Kpadape,Coopérative Union Des Sociétés Coopératives Des Productions De Café- Cacao Kloto Centre,{Cooperative production},Nsp,POINT (0.5927942524668433 6.84148270820901)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-6707,Centrale,Sotouboua,Sotouboua 3,Kazaboua,Abijande,Coopérative Association Pouwedeou De Abidjande,{Cooperative production},Nsp,POINT (1.1349466666666712 8.37442666666666)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-6706,Savanes,Oti-Sud,Oti-Sud 2,Takpamba,Takpamba,Coopérative Lagmtaaba,{Cooperative production},Nsp,POINT (0.5741563092615506 9.969408705870357)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-6705,Savanes,Tandjoaré,Tandjoaré 1,Bombouaka,Kounkogou,Coopérative Scoops Bouam,Nsp,Nsp,POINT (0.2105624974786453 10.702569911970897)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-6704,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Akoin,Coopérative Association Noussindodo,Nsp,Nsp,POINT (1.199145 6.27534833333333)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-6703,Maritime,Avé,Avé 1,Assahoun,Amenoukpoe,Coopérative Espoir,"{Cooperative production,autre}",Cooperative simple,POINT (0.94455 6.478245)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-6702,Maritime,Avé,Avé 1,Tovégan,Attielio,Coopérative Assilassime,{Cooperative production},Cooperative avec conseil d administration,POINT (0.8824799999999999 6.583098333333334)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-6701,Maritime,Avé,Avé 1,Edzi,Ando-kpegbè,Coopérative Gamessou,{Cooperative production},Nsp,POINT (0.8160783333333334 6.449489999999999)
