FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,marche_nom,jour,organisme,geometry
_mview_marche_marches.fid--c72d8f_193db82c344_-5bef,Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,Vakpossito,Marché de Vakpossito,"{lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche}",Non,"MULTIPOLYGON (((1.163437915407828 6.2172876530162045, 1.1637067235937115 6.217401180876223, 1.1638402492285291 6.217144433219377, 1.1636786129337497 6.2170081997179105, 1.1635117058902276 6.217147926385619, 1.163437915407828 6.2172876530162045)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5bee,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Zongo,Marché de Haoussa Zongo,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",Oui,"MULTIPOLYGON (((1.206981257825946 6.25500408784298, 1.207454654935421 6.254127099168133, 1.208605870633464 6.253849029281122, 1.2082723408517884 6.2567794506561105, 1.2075622451875752 6.256961264579677, 1.206981257825946 6.25500408784298)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5bed,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Togble Kope,Marché d'ademessime,"{lundi,mardi,mercredi,jeudi,vendredi}",Oui,"MULTIPOLYGON (((1.2109974337157352 6.278723735930782, 1.2113751233989445 6.278540075156824, 1.2112881732560474 6.278056614868656, 1.2111876371533228 6.278099829214354, 1.2111930715372536 6.278170052518469, 1.2110001509077006 6.27832400357512, 1.2108941804210447 6.278494159953213, 1.2109974337157352 6.278723735930782)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5bec,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Djikame,Marché de Djikame,"{lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche}",Non,"MULTIPOLYGON (((1.2244494371509467 6.24175843464053, 1.224441259519431 6.242085430103794, 1.2247446937514028 6.242074846409589, 1.2247500171589816 6.241767919184622, 1.2244494371509467 6.24175843464053)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5beb,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Sanguera,Marché de Sanguera,"{vendredi,lundi,mardi,mercredi,jeudi,samedi,dimanche}",Oui,"MULTIPOLYGON (((1.1130506294637423 6.229748979166772, 1.1133173994718644 6.230101687953791, 1.1132453715696715 6.230335059050996, 1.1126851545526155 6.230677159676387, 1.112437058445062 6.230255500734063, 1.1130506294637423 6.229748979166772)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5bea,Maritime,Avé,Avé 1,Tovégan,Atti Setekpe,Marché de Atti Setekpe,{mardi},Non,"MULTIPOLYGON (((0.8509383333333334 6.548768333333333, 0.8509383333333334 6.548586666666667, 0.8508600000000001 6.548576666666666, 0.8508266666666666 6.5486, 0.850795 6.5487, 0.8509383333333334 6.548768333333333)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5be9,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Attigankope,Marché de Sangnrame,"{dimanche,samedi,vendredi,jeudi,mercredi,mardi,lundi}",Oui,"MULTIPOLYGON (((1.1300608406771129 6.240270461348419, 1.1301773071825618 6.24033992719544, 1.130335701629973 6.2404418104210775, 1.130517389378474 6.240594635222388, 1.1306105625828335 6.240608528383934, 1.1307642983700266 6.240423286199707, 1.1308947408561298 6.240261199234785, 1.1307689570302444 6.240085219044675, 1.1306059039226155 6.24004817057607, 1.1304428508149866 6.240025015281859, 1.1302332111051776 6.240113005394414, 1.1300608406771129 6.240270461348419)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5be8,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Zossimè,Marché Zossimè,"{dimanche,samedi,vendredi,jeudi,mercredi,mardi,lundi}",Non,"MULTIPOLYGON (((1.1505011301404016 6.2334067191987215, 1.1505931453931193 6.233170232518574, 1.1507726873496422 6.233315247948286, 1.1506716949990983 6.233404488192802, 1.1505011301404016 6.2334067191987215)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5be7,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Konyito,Marché de Konyito,"{lundi,samedi}",Oui,"MULTIPOLYGON (((1.1158335782382223 6.275931917032322, 1.1157943065632108 6.275730229348049, 1.1155946755485666 6.27534799844189, 1.1159366663851287 6.275201612063144, 1.1161852189751924 6.27513557871115, 1.1163815278457616 6.275617497083184, 1.1163882201936217 6.2758163252386865, 1.1157833085647206 6.276129525970567, 1.1157695323733803 6.276103061885762, 1.1158370356988496 6.2760023675089585, 1.1158335782382223 6.275931917032322)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5be6,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,Adeticope,Marché Adeticope,"{lundi,jeudi}",Non,"MULTIPOLYGON (((1.2185333833002854 6.3234899488413125, 1.2182449909468342 6.322008985059993, 1.2195828110308977 6.321467556382308, 1.2202397047248694 6.322430980548058, 1.2185333833002856 6.323481986681785, 1.2185333833002856 6.323481986681785, 1.2185333833002854 6.3234899488413125)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5be5,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,Adoglové,Marché Adoglové,"{mercredi,samedi}",Non,"MULTIPOLYGON (((1.2185006232616833 6.346773046809958, 1.218318993656878 6.346666162085481, 1.2186655238239401 6.346281376893738, 1.2187300501309104 6.346350258214613, 1.2187204906780258 6.346414389091289, 1.2188041358907649 6.346464268656518, 1.2184958435352402 6.3467849228890865, 1.2184958435352402 6.3467849228890865, 1.2184958435352402 6.3467849228890865, 1.2185006232616833 6.346773046809958)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5be4,Maritime,Avé,Avé 1,Kévé,Ablaganme,Marché de Keve,{mercredi},Oui,"MULTIPOLYGON (((0.9311133333333333 6.4311050000000005, 0.9310550000000001 6.4311050000000005, 0.9307333333333333 6.430821666666666, 0.9310633333333332 6.430518333333334, 0.9313 6.430925, 0.9311133333333333 6.4311050000000005)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5be3,Maritime,Avé,Avé 1,Assahoun,Yovokome,Ancien Marché d'assahoun,"{dimanche,vendredi,jeudi,mercredi,mardi,lundi}",Non,"MULTIPOLYGON (((0.9141766666666666 6.453216666666666, 0.9155483333333333 6.452326793035535, 0.9155483333333333 6.452326793035535, 0.9155483333333333 6.452326793035535, 0.9155483333333333 6.452326793035535, 0.9155483333333333 6.452326793035535, 0.9155483333333333 6.452326793035535, 0.9155483333333333 6.452326793035535, 0.9155483333333333 6.452326793035535, 0.9155483333333333 6.452326793035535, 0.9155483333333333 6.452326793035535, 0.9155483333333333 6.452326793035535, 0.9155483333333333 6.452326793035535, 0.9155483333333333 6.452326793035535, 0.9155483333333333 6.452326793035535, 0.9155483333333333 6.452326793035535, 0.9155483333333333 6.452326793035535, 0.9155483333333333 6.452326793035535, 0.9155483333333333 6.452326793035535, 0.9160699999999999 6.4525500000000005, 0.9144933333333333 6.453991666666667, 0.9141763426727517 6.453219293152526, 0.9141763426727517 6.453219293152526, 0.9141763426727517 6.453219293152526, 0.9141763426727517 6.453219293152526, 0.9141763426727517 6.453219293152526, 0.9141763426727517 6.453219293152526, 0.9141763426727517 6.453219293152526, 0.9141763426727517 6.453219293152526, 0.9141763426727517 6.453219293152526, 0.9141763426727517 6.453219293152526, 0.9141763426727517 6.453219293152526, 0.9141763426727517 6.453219293152526, 0.9141766666666666 6.453216666666666)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5be2,Maritime,Golfe,Golfe 1,Bè-Est,Akodessewa,Marché de Fetiches,"{lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche}",Oui,"MULTIPOLYGON (((1.266926873804009 6.15785150161255, 1.266911484540236 6.157297624312816, 1.267400863128209 6.157416968089205, 1.2675916899989912 6.1577933598236925, 1.2675455222076728 6.1579402443306375, 1.266926873804009 6.15785150161255)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5be1,Maritime,Avé,Avé 1,Assahoun,Kpetchoume,Marché de Assahoun,{samedi},Non,"MULTIPOLYGON (((0.9099966666666667 6.448638333333334, 0.9115045320025474 6.44691376981175, 0.9114611509102486 6.446928138732863, 0.9114611509102486 6.446928138732863, 0.9114611509102486 6.446928138732863, 0.9084120009794237 6.445731293483174, 0.9076677132845767 6.447586601953227, 0.9077139864496954 6.447580854392296, 0.9099966666666667 6.448638333333334)))"
