FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etab_nom,etab_adresse,etab_jour,etab_creation_date,terrain,geometry
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_29c5,Maritime,Golfe,Golfe 4,Amoutivé,KODJOVIA KOPÉ,Tubere Rose,Kodjovia Kopé,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",1997,Prive - individuel,POINT (1.2087516666666667 6.125424999999999)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_29c6,Maritime,Golfe,Golfe 2,Bè-Centre,ATIEGOU,Tobias ,Nsp,"{Dimanche,Samedi,Vendredi,jeudi,Mercredi,Mardi,Lundi}",Nsp,Prive - individuel,POINT (1.2646861190715322 6.188362469835615)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_29c7,Maritime,Vo,Vo 1,Vo-Koutimé,KOUTIME CENTRE ,Pepinieriste Gombo,Nsp,Nsp,Nsp,Nsp,POINT (1.5719514832965606 6.3614036487958945)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_29c8,Maritime,Vo,Vo 1,Vo-Koutimé,BOKO ATCHONKOPE,Pepinieriste Koudahe,Nsp ,"{Dimanche,Samedi,jeudi,Mercredi,Vendredi,Mardi,Lundi}",2004,autre,POINT (1.5852883333333332 6.337238333333333)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_29c9,Maritime,Vo,Vo 1,Vo-Koutimé, SALAME,Pepinieriste Mawoussi,Néant ,"{Lundi,Mardi,Mercredi,jeudi,Samedi,Dimanche,Vendredi}",2018,autre,POINT (1.5808616666666666 6.3397016666666675)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_29ca,Kara,Kéran,Kéran 3,Koutougou,TAPOUTE,Pépinière du Piment,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2017,Prive - individuel,POINT (1.2554750000000001 10.059146666666667)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_29cb,Kara,Kéran,Kéran 3,Koutougou,TAPOUTE,Pépinière de la Tomate,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2017,Prive - individuel,POINT (1.2554283333333334 10.059050000000001)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_29cc,Kara,Kéran,Kéran 3,Koutougou,TAPOUNTE,"Pépinière Piment, Gombo et Tomates ",Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2021,Prive - individuel,POINT (1.2547983333333332 10.065268333333334)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_29cd,Plateaux,Amou,Amou 3,Hihéatro,APEDOME,Pépinière Tokpenou,Néant,"{Mardi,Lundi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2017,Prive - individuel,POINT (1.043405 7.594925000000001)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_29ce,Plateaux,Amou,Amou 3,Okpahoé,KODZOASA,Pépinière Ayekpada,Néant,"{Lundi,Mercredi,Vendredi,Dimanche}",2010,Prive - individuel,POINT (1.03795 7.60739)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_29cf,Plateaux,Kpélé,Kpélé 1,Kpélé-Novivé,ADETA ,Adeta,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",Nsp,Prive - individuel,POINT (0.7301433333333333 7.128396666666666)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_29d0,Kara,Kéran,Kéran 3,Koutougou,SOLLA,Pépinière de Piment Vert,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Samedi,Vendredi,Dimanche}",2017,Prive - individuel,POINT (1.1685683333333332 10.025086666666665)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_29d1,Plateaux,Danyi,Danyi 1,Danyi-Atigba,EZAPE ,Nutsugan,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2021,Prive - individuel,POINT (0.6946483333333333 7.2924766666666665)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_29d2,Plateaux,Est-Mono,Est-Mono 3,Nyamassila,NYAMASSILA ,Gagnanglo,Nsp,"{Mercredi,jeudi,Vendredi,Samedi}",2018,Ne sait pas,POINT (1.1913020864561745 7.984616413339531)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_29d3,Plateaux,Wawa,Wawa 1,Tomégbé,TOMEGBE,Toulassi,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2019,Prive - individuel,POINT (0.5988966666666666 7.515816666666666)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_29d4,Plateaux,Wawa,Wawa 1,Tomégbé,TOMEGBE,Ikpa,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2021,Prive - individuel,POINT (0.5916066666666667 7.521461666666666)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_29d5,Plateaux,Wawa,Wawa 1,Késsibo,ABREWANKOR,Kekou,Abrewankor ,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2019,autre,POINT (0.60403 7.621638333333334)
