FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,exploitation_nom,exploitation_annee,terrain,geometry
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1dc3,Kara,Binah,Binah 1,Solla,TININGOU,Plantation de Sabissou,2015,Prive - individuel,POINT (1.3585212361312127 9.889765354710017)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1dc4,Kara,Binah,Binah 1,Solla,TININGOU,Plantation de Sabissou,2018,Prive - individuel,POINT (1.3597434406339537 9.881339127725095)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1dc5,Plateaux,Danyi,Danyi 2,Danyi-Elavagnon,OGOBE 2,Plantation Kouya,1981,Prive - individuel,POINT (0.773917674881897 7.374404135190662)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1dc6,Kara,Binah,Binah 2,Sirka,ATCHAOU,Plantation Akoulakou,2010,Prive - individuel,POINT (1.354708768879707 9.582332508327287)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1dc7,Plateaux,Agou,Agou 1,Assahoun-Fiagbé,HADRE KOPE,Plantation Toko,1992,Prive - individuel,POINT (0.7060362461941199 6.809117726568373)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1dc8,Centrale,Sotouboua,Sotouboua 2,Aouda,AOU-MONO,Plantation Seringa,1985,Prive - individuel,POINT (1.2002072829525199 8.693040919716967)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1dc9,Kara,Binah,Binah 1,Pagouda,Tanfarou,Plantation Matagnibrou,1983,Prive - individuel,POINT (1.3589533009790178 9.74897277046602)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1dca,Kara,Binah,Binah 1,Solla,TININGOU,Plantation de Bafaliki,2010,Prive - individuel,POINT (1.3624455216711848 9.890506584692966)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1dcb,Kara,Binah,Binah 1,Solla,TININGOU,Plantation de Sotou,2003,Prive - individuel,POINT (1.3636392614492368 9.889734675014482)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1dcc,Kara,Binah,Binah 1,Solla,TININGOU,Plantation de Sotou,2012,Prive - individuel,POINT (1.3616210054863216 9.888680278094894)
