FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,cooperative_type,cooperative_nom,geometry
_mview_zaapzapb_champs_individuels_zaap_zapb.fid-7111a9c0_193e574b72f_672b,Plateaux,Anié,Anié 2,Glitto,SOTCHIKOE,Nsp,Nsp,"MULTIPOLYGON (((1.5103616666666668 7.5280716666666665, 1.5103183333333334 7.527586666666667, 1.509853333333333 7.5277, 1.5098350000000003 7.527763333333333, 1.50986 7.527966666666667, 1.5099033333333334 7.528201666666666, 1.5103616666666668 7.5280716666666665)))"
_mview_zaapzapb_champs_individuels_zaap_zapb.fid-7111a9c0_193e574b72f_672c,Plateaux,Est-Mono,Est-Mono 2,Morétan,FLANDI-COPE,"{Cooperative production,tontine,entraide,ESOP,champ de zaap}",Agro-kpessi,"MULTIPOLYGON (((1.2746950000000001 8.099431666666668, 1.2743016666666667 8.098583333333332, 1.2725183333333334 8.099645, 1.2730266666666668 8.100481666666667, 1.2746950000000001 8.099431666666668)))"
_mview_zaapzapb_champs_individuels_zaap_zapb.fid-7111a9c0_193e574b72f_672d,Plateaux,Moyen-Mono,Moyen-Mono 2,Kpékplémé,ATIFOUTOU,Nsp,Nsp,"MULTIPOLYGON (((1.6207831815154625 7.308809207630199, 1.6215057180376862 7.308497525208848, 1.6212082029991235 7.307619147475948, 1.6209390227261382 7.307831658217778, 1.6208965205777721 7.308044168959609, 1.621038194405659 7.308171675404707, 1.6206415076875755 7.308214177553073, 1.6207831815154625 7.308809207630199)))"
_mview_zaapzapb_champs_individuels_zaap_zapb.fid-7111a9c0_193e574b72f_672e,Plateaux,Moyen-Mono,Moyen-Mono 2,Kpékplémé,ATIFOUTOU,Nsp,Nsp,"MULTIPOLYGON (((1.6224024758295519 7.30581973855006, 1.6234697521269383 7.305416545282157, 1.623042841607984 7.304396703486876, 1.6225447793358707 7.3046813104995145, 1.6226633655911358 7.305013352014257, 1.6223313240763935 7.305226807273734, 1.6224024758295519 7.30581973855006)))"
_mview_zaapzapb_champs_individuels_zaap_zapb.fid-7111a9c0_193e574b72f_672f,Plateaux,Est-Mono,Est-Mono 2,Morétan,FLANDI-COPÉ,"{tontine,Cooperative production,champ de zaap}",Agro-kpessi,"MULTIPOLYGON (((1.2754766666666666 8.100510000000002, 1.275465 8.100573333333333, 1.2758749999999999 8.101046666666667, 1.27658 8.100716666666667, 1.2760633437677005 8.099789464283576, 1.2754801147780404 8.100497670913876, 1.2754766666666666 8.100510000000002)))"
_mview_zaapzapb_champs_individuels_zaap_zapb.fid-7111a9c0_193e574b72f_6730,Plateaux,Est-Mono,Est-Mono 2,Morétan,FLANDI-COPÉ,"{Cooperative production,entraide,champ de zaap}",Agro-kpessi,"MULTIPOLYGON (((1.2765966666666666 8.100719999999999, 1.2770883333333334 8.101656666666665, 1.275725 8.102243333333332, 1.275341305278693 8.101320628428088, 1.2765966666666666 8.100719999999999)))"
_mview_zaapzapb_champs_individuels_zaap_zapb.fid-7111a9c0_193e574b72f_6731,Plateaux,Est-Mono,Est-Mono 2,Morétan,FLANDI-COPÉ,"{Cooperative production,entraide,champ de zaap}",Agro-kpessi,"MULTIPOLYGON (((1.2754066666666666 8.101571666666667, 1.2743733333333334 8.10093, 1.2749100000000002 8.100141666666667, 1.275800700826604 8.101051219765969, 1.2753192409203318 8.101328059212072, 1.2754215511504143 8.101550734418723, 1.2754066666666666 8.101571666666667)))"
_mview_zaapzapb_champs_individuels_zaap_zapb.fid-7111a9c0_193e574b72f_6732,Plateaux,Amou,Amou 1,Imlè-Adiva,KOUTOUKPA,Nsp,Nsp,"MULTIPOLYGON (((0.9934353428397716 7.495228504247329, 0.99360829355537 7.494645596279942, 0.9939413838224483 7.494639190697883, 0.9941912015227572 7.4947288688467095, 0.9943449354921777 7.494824952577598, 0.9944474248051249 7.494824952577598, 0.9948189485645585 7.494767302339065, 0.9948125429824993 7.495093987024086, 0.9947292704157298 7.495401454962927, 0.9934353428397716 7.495228504247329)))"
_mview_zaapzapb_champs_individuels_zaap_zapb.fid-7111a9c0_193e574b72f_6733,Plateaux,Amou,Amou 1,Imlè-Adiva,KOUTOUKPA,{Cooperative production},Espoir,"MULTIPOLYGON (((0.9913383333333333 7.49895, 0.9911283333333334 7.498461666666667, 0.991835 7.498143333333333, 0.9920466666666666 7.498621666666666, 0.9913383333333333 7.49895)))"
_mview_zaapzapb_champs_individuels_zaap_zapb.fid-7111a9c0_193e574b72f_6734,Plateaux,Amou,Amou 1,Imlè-Adiva,KOUTOUKPA,{Cooperative production},Espoir,"MULTIPOLYGON (((0.99127 7.499750000000001, 0.9909652417401749 7.499102189294445, 0.9924394098174828 7.498394929465449, 0.992746173116807 7.499085146888929, 0.99127 7.499750000000001)))"
